s,p,o
106,refersTo,odang_person_8450690
odang_person_8450690,label_it,John Buck
odang_person_8450690,P106,Q10871364
odang_person_8450690,P19,Q992087
odang_person_8450690,P21,Q6581097
odang_person_8450690,P27,Q30
odang_person_8450690,P569,1980
odang_person_8450690,message,106
84,refersTo,odang_person_8487228
odang_person_8487228,label_it,Anna Garlin Spencer
odang_person_8487228,P106,Q15253558
odang_person_8487228,P166,Q22025357
odang_person_8487228,P19,Q1775244
odang_person_8487228,P21,Q6581072
odang_person_8487228,P27,Q30
odang_person_8487228,P569,1851
odang_person_8487228,message,84
133,refersTo,odang_person_4825293
odang_person_4825293,label_it,Gene Hickerson
odang_person_4825293,P106,Q19204627
odang_person_4825293,P166,Q778412
odang_person_4825293,P19,Q2670096
odang_person_4825293,P20,Q37320
odang_person_4825293,P21,Q6581097
odang_person_4825293,P27,Q30
odang_person_4825293,P569,1935
odang_person_4825293,message,133
149,refersTo,odang_person_3886373
odang_person_3886373,label_it,Alex Salvini
odang_person_3886373,P106,Q12327806
odang_person_3886373,P1412,Q652
odang_person_3886373,P19,Q1891
odang_person_3886373,P21,Q6581097
odang_person_3886373,P27,Q38
odang_person_3886373,P569,1985
odang_person_3886373,message,149
153,refersTo,odang_person_1182610
odang_person_1182610,label_it,Paul Skobel
odang_person_1182610,P569,1878
odang_person_1182610,message,153
174,refersTo,odang_person_6082761
odang_person_6082761,label_it,Michel Delines
odang_person_6082761,P106,Q36180
odang_person_6082761,P1412,Q7737
odang_person_6082761,P19,Q1874
odang_person_6082761,P20,Q33959
odang_person_6082761,P21,Q6581097
odang_person_6082761,P27,Q142
odang_person_6082761,P569,1851
odang_person_6082761,P6886,Q150
odang_person_6082761,message,174
200,refersTo,odang_person_3520507
odang_person_3520507,label_it,A. Dorothy Angus
odang_person_3520507,P106,Q483501
odang_person_3520507,P21,Q6581072
odang_person_3520507,P569,1891
odang_person_3520507,message,200
113,refersTo,odang_person_1353153
odang_person_1353153,label_it,Muhammad ibn Ja'far
odang_person_1353153,P19,Q115
odang_person_1353153,P20,Q3960268
odang_person_1353153,P21,Q6581097
odang_person_1353153,P22,Q1147498
odang_person_1353153,P26,Q510433
odang_person_1353153,P3373,Q1112978
odang_person_1353153,message,113
188,refersTo,odang_person_7222175
odang_person_7222175,label_it,Johannes Müller
odang_person_7222175,P106,Q482980
odang_person_7222175,P1412,Q188
odang_person_7222175,P19,Q1040
odang_person_7222175,P21,Q6581097
odang_person_7222175,P27,Q183
odang_person_7222175,P569,1959
odang_person_7222175,P937,Q2999
odang_person_7222175,message,188
156,refersTo,odang_person_9161123
odang_person_9161123,label_it,Sara Rosenblum
odang_person_9161123,P106,Q1650915
odang_person_9161123,P108,Q591115
odang_person_9161123,P21,Q6581072
odang_person_9161123,P569,1958
odang_person_9161123,message,156
196,refersTo,odang_person_2289742
odang_person_2289742,label_it,Alfred Eccles
odang_person_2289742,P21,Q6581097
odang_person_2289742,message,196
107,refersTo,odang_person_338619
odang_person_338619,label_it,Richard Rice
odang_person_338619,P106,Q333634
odang_person_338619,P1412,Q1860
odang_person_338619,P21,Q6581097
odang_person_338619,P27,Q25
odang_person_338619,P3373,Q16863488
odang_person_338619,P39,Q103163
odang_person_338619,P569,1511
odang_person_338619,message,107
193,refersTo,odang_person_6105941
odang_person_6105941,label_it,Charles Basing
odang_person_6105941,P106,Q1028181
odang_person_6105941,P19,Q6554885
odang_person_6105941,P20,Q101625
odang_person_6105941,P21,Q6581097
odang_person_6105941,P27,Q408
odang_person_6105941,P569,1864
odang_person_6105941,message,193
173,refersTo,odang_person_7181880
odang_person_7181880,label_it,Alwin Brinkmann
odang_person_7181880,P102,Q49768
odang_person_7181880,P103,Q188
odang_person_7181880,P106,Q82955
odang_person_7181880,P1412,Q188
odang_person_7181880,P19,Q15984
odang_person_7181880,P21,Q6581097
odang_person_7181880,P27,Q183
odang_person_7181880,P39,Q17521638
odang_person_7181880,P569,1946
odang_person_7181880,P937,Q4174
odang_person_7181880,message,173
140,refersTo,odang_person_7239761
odang_person_7239761,label_it,Jacques Augarde
odang_person_7239761,P102,Q1236315
odang_person_7239761,P103,Q150
odang_person_7239761,P106,Q82955
odang_person_7239761,P1412,Q150
odang_person_7239761,P166,Q10855212
odang_person_7239761,P19,Q6625
odang_person_7239761,P20,Q90
odang_person_7239761,P21,Q6581097
odang_person_7239761,P27,Q142
odang_person_7239761,P39,Q3044918
odang_person_7239761,P569,1908
odang_person_7239761,P937,Q90
odang_person_7239761,message,140
50,refersTo,odang_person_7179612
odang_person_7179612,label_it,Steve Hewitt
odang_person_7179612,P106,Q386854
odang_person_7179612,P1412,Q1860
odang_person_7179612,P19,Q18125
odang_person_7179612,P21,Q6581097
odang_person_7179612,P27,Q145
odang_person_7179612,P463,Q6690350
odang_person_7179612,P569,1971
odang_person_7179612,message,50
61,refersTo,odang_person_424847
odang_person_424847,label_it,Mary Jane Turner
odang_person_424847,P106,Q21560152
odang_person_424847,P21,Q6581072
odang_person_424847,message,61
191,refersTo,odang_person_1414129
odang_person_1414129,label_it,António Joaquim Barjona
odang_person_1414129,P103,Q5146
odang_person_1414129,P106,Q39631
odang_person_1414129,P1412,Q5146
odang_person_1414129,P19,Q45412
odang_person_1414129,P20,Q45412
odang_person_1414129,P21,Q6581097
odang_person_1414129,P27,Q45
odang_person_1414129,message,191
174,refersTo,odang_person_6063396
odang_person_6063396,label_it,Lynne Ramsay
odang_person_6063396,P106,Q2526255
odang_person_6063396,P1412,Q1860
odang_person_6063396,P166,Q7650000
odang_person_6063396,P19,Q4093
odang_person_6063396,P21,Q6581072
odang_person_6063396,P27,Q145
odang_person_6063396,P569,1969
odang_person_6063396,P937,Q22
odang_person_6063396,message,174
152,refersTo,odang_person_185219
odang_person_185219,label_it,Michael G. Fitzgerald
odang_person_185219,P106,Q36180
odang_person_185219,P1412,Q1860
odang_person_185219,P21,Q6581097
odang_person_185219,P27,Q30
odang_person_185219,P569,1950
odang_person_185219,message,152
60,refersTo,odang_person_614913
odang_person_614913,label_it,Jens Kastberg
odang_person_614913,P106,Q13382576
odang_person_614913,P21,Q6581097
odang_person_614913,P27,Q35
odang_person_614913,P569,1975
odang_person_614913,message,60
45,refersTo,odang_person_13309
odang_person_13309,label_it,Adam Erdmann Mirus
odang_person_13309,P106,Q1231865
odang_person_13309,P108,Q316592
odang_person_13309,P1412,Q188
odang_person_13309,P19,Q46853
odang_person_13309,P20,Q157200
odang_person_13309,P21,Q6581097
odang_person_13309,P569,1656
odang_person_13309,message,45
1,refersTo,odang_person_2586394
odang_person_2586394,label_it,Robin Hanzl
odang_person_2586394,P106,Q11774891
odang_person_2586394,P1412,Q9056
odang_person_2586394,P19,Q156974
odang_person_2586394,P21,Q6581097
odang_person_2586394,P27,Q213
odang_person_2586394,P569,1989
odang_person_2586394,message,1
117,refersTo,odang_person_3859180
odang_person_3859180,label_it,Annette van Delft
odang_person_3859180,P102,Q275441
odang_person_3859180,P106,Q82955
odang_person_3859180,P1412,Q7411
odang_person_3859180,P21,Q6581072
odang_person_3859180,P27,Q29999
odang_person_3859180,P39,Q13423499
odang_person_3859180,P569,1952
odang_person_3859180,message,117
165,refersTo,odang_person_8008979
odang_person_8008979,label_it,Andrea Piscini
odang_person_8008979,P106,Q1650915
odang_person_8008979,P108,Q645663
odang_person_8008979,message,165
59,refersTo,odang_person_9164694
odang_person_9164694,label_it,Bethonie Butler
odang_person_9164694,P106,Q1930187
odang_person_9164694,P108,Q166032
odang_person_9164694,P19,Q1391
odang_person_9164694,P21,Q6581072
odang_person_9164694,message,59
169,refersTo,odang_person_1297017
odang_person_1297017,label_it,Valentin Oehen
odang_person_1297017,P102,Q660046
odang_person_1297017,P106,Q82955
odang_person_1297017,P1412,Q652
odang_person_1297017,P19,Q7149
odang_person_1297017,P21,Q6581097
odang_person_1297017,P27,Q39
odang_person_1297017,P39,Q18510612
odang_person_1297017,P569,1931
odang_person_1297017,P937,Q70
odang_person_1297017,message,169
69,refersTo,odang_person_4879952
odang_person_4879952,label_it,Camille Radou
odang_person_4879952,P106,Q10843402
odang_person_4879952,P1412,Q150
odang_person_4879952,P21,Q6581072
odang_person_4879952,P27,Q142
odang_person_4879952,P569,1993
odang_person_4879952,message,69
103,refersTo,odang_person_543722
odang_person_543722,label_it,Faustino Alonso Gotor
odang_person_543722,P21,Q6581097
odang_person_543722,P569,1923
odang_person_543722,message,103
134,refersTo,odang_person_6081054
odang_person_6081054,label_it,Sergio Nazzaro
odang_person_6081054,P106,Q36180
odang_person_6081054,P1412,Q652
odang_person_6081054,P19,Q64032
odang_person_6081054,P21,Q6581097
odang_person_6081054,P27,Q38
odang_person_6081054,P569,1973
odang_person_6081054,message,134
130,refersTo,odang_person_2941320
odang_person_2941320,label_it,Julio Quintero
odang_person_2941320,P106,Q937857
odang_person_2941320,P19,Q695623
odang_person_2941320,P21,Q6581097
odang_person_2941320,P569,1964
odang_person_2941320,message,130
127,refersTo,odang_person_4599290
odang_person_4599290,label_it,Eitan Nahmias-Glass
odang_person_4599290,P106,Q36180
odang_person_4599290,P19,Q33935
odang_person_4599290,P21,Q6581097
odang_person_4599290,P27,Q801
odang_person_4599290,P569,1968
odang_person_4599290,message,127
23,refersTo,odang_person_2439818
odang_person_2439818,label_it,Salvador Cristau Coll
odang_person_2439818,P106,Q250867
odang_person_2439818,P1412,Q7026
odang_person_2439818,P19,Q1492
odang_person_2439818,P21,Q6581097
odang_person_2439818,P27,Q29
odang_person_2439818,P39,Q611644
odang_person_2439818,P569,1950
odang_person_2439818,message,23
9,refersTo,odang_person_6033256
odang_person_6033256,label_it,Stefania Neonato
odang_person_6033256,P106,Q486748
odang_person_6033256,P1412,Q652
odang_person_6033256,P21,Q6581072
odang_person_6033256,P27,Q38
odang_person_6033256,P569,1980
odang_person_6033256,message,9
69,refersTo,odang_person_5916649
odang_person_5916649,label_it,Enrico Novarese
odang_person_5916649,P106,Q169470
odang_person_5916649,P1412,Q652
odang_person_5916649,P19,Q6046
odang_person_5916649,P20,Q495
odang_person_5916649,P21,Q6581097
odang_person_5916649,P27,Q172579
odang_person_5916649,P569,1858
odang_person_5916649,P6886,Q652
odang_person_5916649,message,69
78,refersTo,odang_person_2590172
odang_person_2590172,label_it,Shiraz Ali
odang_person_2590172,P106,Q12299841
odang_person_2590172,P1412,Q1860
odang_person_2590172,P19,Q23635
odang_person_2590172,P21,Q6581097
odang_person_2590172,P27,Q23635
odang_person_2590172,P569,1934
odang_person_2590172,message,78
46,refersTo,odang_person_6874162
odang_person_6874162,label_it,Arturo Moreno Garcerán
odang_person_6874162,P569,1956
odang_person_6874162,message,46
176,refersTo,odang_person_5386405
odang_person_5386405,label_it,Sujata Moorti
odang_person_5386405,P21,Q6581072
odang_person_5386405,P569,1963
odang_person_5386405,message,176
83,refersTo,odang_person_2580132
odang_person_2580132,label_it,Pankaj Patel
odang_person_2580132,P106,Q43845
odang_person_2580132,P21,Q6581097
odang_person_2580132,P27,Q668
odang_person_2580132,P40,Q107522755
odang_person_2580132,P551,Q1070
odang_person_2580132,P569,1951
odang_person_2580132,message,83
33,refersTo,odang_person_2445245
odang_person_2445245,label_it,Russell A. Mittermeier
odang_person_2445245,P106,Q864503
odang_person_2445245,P108,Q969850
odang_person_2445245,P1412,Q1860
odang_person_2445245,P166,Q94036
odang_person_2445245,P19,Q18426
odang_person_2445245,P21,Q6581097
odang_person_2445245,P26,Q12306739
odang_person_2445245,P27,Q30
odang_person_2445245,P463,Q463303
odang_person_2445245,P551,Q739
odang_person_2445245,P569,1949
odang_person_2445245,message,33
62,refersTo,odang_person_7494378
odang_person_7494378,label_it,Luigi Cattaneo
odang_person_7494378,P106,Q937857
odang_person_7494378,P1412,Q652
odang_person_7494378,P19,Q47262
odang_person_7494378,P20,Q47262
odang_person_7494378,P21,Q6581097
odang_person_7494378,P27,Q38
odang_person_7494378,P569,1918
odang_person_7494378,message,62
104,refersTo,odang_person_2608748
odang_person_2608748,label_it,Augusto Franco
odang_person_2608748,P102,Q1713552
odang_person_2608748,P103,Q5146
odang_person_2608748,P106,Q82955
odang_person_2608748,P1412,Q5146
odang_person_2608748,P19,Q2014486
odang_person_2608748,P20,Q170578
odang_person_2608748,P21,Q6581097
odang_person_2608748,P27,Q155
odang_person_2608748,P39,Q18964326
odang_person_2608748,P569,1912
odang_person_2608748,P937,Q2844
odang_person_2608748,message,104
85,refersTo,odang_person_2608770
odang_person_2608770,label_it,Bartolomeu da Cunha Gago
odang_person_2608770,P1412,Q5146
odang_person_2608770,P19,Q170540
odang_person_2608770,P21,Q6581097
odang_person_2608770,P27,Q155
odang_person_2608770,message,85
137,refersTo,odang_person_192965
odang_person_192965,label_it,Punnara Phoomchareon
odang_person_192965,P106,Q18581305
odang_person_192965,P19,Q1861
odang_person_192965,P21,Q6581072
odang_person_192965,P569,1990
odang_person_192965,message,137
103,refersTo,odang_person_2470780
odang_person_2470780,label_it,André Maurice
odang_person_2470780,P106,Q42973
odang_person_2470780,P1412,Q150
odang_person_2470780,P166,Q10855271
odang_person_2470780,P19,Q90
odang_person_2470780,P21,Q6581097
odang_person_2470780,P27,Q142
odang_person_2470780,P569,1886
odang_person_2470780,message,103
1,refersTo,odang_person_8590280
odang_person_8590280,label_it,Kazuo Yoshida
odang_person_8590280,P106,Q37226
odang_person_8590280,P108,Q815432
odang_person_8590280,P19,Q1490
odang_person_8590280,P21,Q6581097
odang_person_8590280,P27,Q17
odang_person_8590280,P569,1949
odang_person_8590280,message,1
120,refersTo,odang_person_4708531
odang_person_4708531,label_it,Ralph Smith Kirby
odang_person_4708531,P21,Q6581097
odang_person_4708531,message,120
97,refersTo,odang_person_8378817
odang_person_8378817,label_it,Isaac Rice
odang_person_8378817,P106,Q10873124
odang_person_8378817,P19,Q50897
odang_person_8378817,P20,Q60
odang_person_8378817,P21,Q6581097
odang_person_8378817,P27,Q30
odang_person_8378817,P569,1850
odang_person_8378817,message,97
113,refersTo,odang_person_8797495
odang_person_8797495,label_it,Jacques-Donald de Certaines
odang_person_8797495,P1412,Q150
odang_person_8797495,P19,Q180871
odang_person_8797495,P21,Q6581097
odang_person_8797495,P27,Q142
odang_person_8797495,P569,1946
odang_person_8797495,message,113
81,refersTo,odang_person_8324105
odang_person_8324105,label_it,Elisabeth Wells
odang_person_8324105,P106,Q52899051
odang_person_8324105,P108,Q180865
odang_person_8324105,P1412,Q1860
odang_person_8324105,P21,Q6581072
odang_person_8324105,P26,Q82932258
odang_person_8324105,P27,Q664
odang_person_8324105,message,81
27,refersTo,odang_person_5058062
odang_person_5058062,label_it,Joseph Vincent Sullivan
odang_person_5058062,P106,Q250867
odang_person_5058062,P19,Q41819
odang_person_5058062,P20,Q28218
odang_person_5058062,P21,Q6581097
odang_person_5058062,P27,Q30
odang_person_5058062,P39,Q611644
odang_person_5058062,P569,1919
odang_person_5058062,message,27
65,refersTo,odang_person_2413988
odang_person_2413988,label_it,Antonio Santin
odang_person_2413988,P106,Q250867
odang_person_2413988,P1412,Q652
odang_person_2413988,P19,Q5316
odang_person_2413988,P20,Q546
odang_person_2413988,P21,Q6581097
odang_person_2413988,P27,Q38
odang_person_2413988,P39,Q48629921
odang_person_2413988,P569,1895
odang_person_2413988,message,65
88,refersTo,odang_person_7771407
odang_person_7771407,label_it,Maria Leist
odang_person_7771407,P106,Q7019111
odang_person_7771407,P21,Q6581072
odang_person_7771407,P569,1910
odang_person_7771407,message,88
116,refersTo,odang_person_3845905
odang_person_3845905,label_it,Elju Kubi
odang_person_3845905,P21,Q6581072
odang_person_3845905,P27,Q191
odang_person_3845905,P569,1951
odang_person_3845905,message,116
165,refersTo,odang_person_7683749
odang_person_7683749,label_it,Anna Maria Chilosi
odang_person_7683749,P106,Q1650915
odang_person_7683749,P21,Q6581072
odang_person_7683749,message,165
151,refersTo,odang_person_1137074
odang_person_1137074,label_it,Jung Tae-in
odang_person_1137074,P106,Q13141064
odang_person_1137074,P21,Q6581097
odang_person_1137074,P27,Q884
odang_person_1137074,P569,2004
odang_person_1137074,message,151
89,refersTo,odang_person_5033374
odang_person_5033374,label_it,Manuel Pagola
odang_person_5033374,P106,Q36180
odang_person_5033374,P1412,Q1321
odang_person_5033374,P19,Q10313
odang_person_5033374,P21,Q6581097
odang_person_5033374,P27,Q29
odang_person_5033374,P569,1952
odang_person_5033374,message,89
11,refersTo,odang_person_5353633
odang_person_5353633,label_it,Antonio Castillo-Esparcia
odang_person_5353633,P106,Q1650915
odang_person_5353633,P21,Q6581097
odang_person_5353633,message,11
10,refersTo,odang_person_208145
odang_person_208145,label_it,Wendy Selig-Prieb
odang_person_208145,P103,Q1860
odang_person_208145,P106,Q43845
odang_person_208145,P21,Q6581072
odang_person_208145,P22,Q2927496
odang_person_208145,P27,Q30
odang_person_208145,message,10
138,refersTo,odang_person_7326104
odang_person_7326104,label_it,Julio Rodríguez
odang_person_7326104,P106,Q36180
odang_person_7326104,P1412,Q1321
odang_person_7326104,P21,Q6581097
odang_person_7326104,P27,Q29
odang_person_7326104,P569,1971
odang_person_7326104,message,138
173,refersTo,odang_person_7165892
odang_person_7165892,label_it,Christopher Cassidy
odang_person_7165892,P106,Q11631
odang_person_7165892,P108,Q23548
odang_person_7165892,P166,Q928314
odang_person_7165892,P19,Q54140
odang_person_7165892,P21,Q6581097
odang_person_7165892,P27,Q30
odang_person_7165892,P39,Q3667787
odang_person_7165892,P569,1970
odang_person_7165892,message,173
8,refersTo,odang_person_6031513
odang_person_6031513,label_it,André Malherbe
odang_person_6031513,P106,Q12327806
odang_person_6031513,P166,Q2182424
odang_person_6031513,P19,Q207095
odang_person_6031513,P21,Q6581097
odang_person_6031513,P27,Q31
odang_person_6031513,P569,1956
odang_person_6031513,message,8
5,refersTo,odang_person_6642136
odang_person_6642136,label_it,Léo-Paul Dana
odang_person_6642136,P106,Q188094
odang_person_6642136,P108,Q21578
odang_person_6642136,P1412,Q1860
odang_person_6642136,P21,Q6581097
odang_person_6642136,P27,Q664
odang_person_6642136,P569,1958
odang_person_6642136,message,5
148,refersTo,odang_person_4916900
odang_person_4916900,label_it,David Smart
odang_person_4916900,P106,Q5137571
odang_person_4916900,P21,Q6581097
odang_person_4916900,P27,Q16
odang_person_4916900,P569,1966
odang_person_4916900,message,148
11,refersTo,odang_person_38255
odang_person_38255,label_it,Dean Cox
odang_person_38255,P106,Q937857
odang_person_38255,P1412,Q1860
odang_person_38255,P19,Q920646
odang_person_38255,P21,Q6581097
odang_person_38255,P27,Q145
odang_person_38255,P569,1987
odang_person_38255,message,11
112,refersTo,odang_person_615078
odang_person_615078,label_it,Bernardo Caicedo
odang_person_615078,P106,Q1650915
odang_person_615078,P108,Q1569421
odang_person_615078,P21,Q6581097
odang_person_615078,message,112
30,refersTo,odang_person_8549946
odang_person_8549946,label_it,Paul Labonte
odang_person_8549946,P106,Q33231
odang_person_8549946,P19,Q3393563
odang_person_8549946,P21,Q6581097
odang_person_8549946,P27,Q16
odang_person_8549946,P569,1976
odang_person_8549946,message,30
122,refersTo,odang_person_7337844
odang_person_7337844,label_it,John McLellan
odang_person_7337844,P106,Q753110
odang_person_7337844,P1412,Q1860
odang_person_7337844,P21,Q6581097
odang_person_7337844,P27,Q145
odang_person_7337844,message,122
166,refersTo,odang_person_4782925
odang_person_4782925,label_it,Wiktor Kulerski
odang_person_4782925,P102,Q1471199
odang_person_4782925,P106,Q2516866
odang_person_4782925,P119,Q123511
odang_person_4782925,P1412,Q188
odang_person_4782925,P19,Q984748
odang_person_4782925,P20,Q11800005
odang_person_4782925,P21,Q6581097
odang_person_4782925,P27,Q183
odang_person_4782925,P39,Q17854096
odang_person_4782925,P569,1865
odang_person_4782925,P937,Q64
odang_person_4782925,message,166
116,refersTo,odang_person_3656304
odang_person_3656304,label_it,Tan Jin Eong
odang_person_3656304,P106,Q13141064
odang_person_3656304,P19,Q271619
odang_person_3656304,P20,Q271619
odang_person_3656304,P21,Q6581097
odang_person_3656304,P27,Q833
odang_person_3656304,P569,1927
odang_person_3656304,message,116
115,refersTo,odang_person_6140166
odang_person_6140166,label_it,Sven Sundin
odang_person_6140166,P102,Q110832
odang_person_6140166,P106,Q82955
odang_person_6140166,P1412,Q9027
odang_person_6140166,P21,Q6581097
odang_person_6140166,P27,Q34
odang_person_6140166,P39,Q33071890
odang_person_6140166,P569,1915
odang_person_6140166,P937,Q1754
odang_person_6140166,message,115
23,refersTo,odang_person_3645664
odang_person_3645664,label_it,Tom McTigue
odang_person_3645664,P106,Q245068
odang_person_3645664,P19,Q187805
odang_person_3645664,P21,Q6581097
odang_person_3645664,P27,Q30
odang_person_3645664,P569,1959
odang_person_3645664,message,23
124,refersTo,odang_person_4610492
odang_person_4610492,label_it,Joel Taylor
odang_person_4610492,P106,Q639669
odang_person_4610492,message,124
28,refersTo,odang_person_1794194
odang_person_1794194,label_it,Hendrik van Noort
odang_person_1794194,P106,Q33231
odang_person_1794194,P21,Q6581097
odang_person_1794194,P27,Q29999
odang_person_1794194,P569,1860
odang_person_1794194,message,28
63,refersTo,odang_person_2932275
odang_person_2932275,label_it,Hermano Apollonio
odang_person_2932275,P106,Q219477
odang_person_2932275,P19,Q567621
odang_person_2932275,P20,Q1486
odang_person_2932275,P21,Q6581097
odang_person_2932275,P569,1908
odang_person_2932275,message,63
175,refersTo,odang_person_108716
odang_person_108716,label_it,Neri Poponi
odang_person_108716,P106,Q49757
odang_person_108716,P1412,Q652
odang_person_108716,P21,Q6581097
odang_person_108716,P27,Q38
odang_person_108716,message,175
97,refersTo,odang_person_7449458
odang_person_7449458,label_it,Kuno Haberbusch
odang_person_7449458,P106,Q1930187
odang_person_7449458,P1412,Q188
odang_person_7449458,P19,Q6874
odang_person_7449458,P21,Q6581097
odang_person_7449458,P27,Q183
odang_person_7449458,P569,1955
odang_person_7449458,message,97
60,refersTo,odang_person_4740578
odang_person_4740578,label_it,Jeong Yoon Ahn
odang_person_4740578,P106,Q18216771
odang_person_4740578,P21,Q6581072
odang_person_4740578,P27,Q18097
odang_person_4740578,P569,1971
odang_person_4740578,P937,Q749
odang_person_4740578,message,60
7,refersTo,odang_person_6163392
odang_person_6163392,label_it,Randal Turner
odang_person_6163392,P106,Q177220
odang_person_6163392,P21,Q6581097
odang_person_6163392,P27,Q30
odang_person_6163392,message,7
41,refersTo,odang_person_8504827
odang_person_8504827,label_it,Eric Matthias
odang_person_8504827,P106,Q11513337
odang_person_8504827,P1412,Q1860
odang_person_8504827,P21,Q6581097
odang_person_8504827,P27,Q145
odang_person_8504827,P569,1984
odang_person_8504827,message,41
153,refersTo,odang_person_157423
odang_person_157423,label_it,Elisa Mújica
odang_person_157423,P106,Q36180
odang_person_157423,P1412,Q1321
odang_person_157423,P19,Q243766
odang_person_157423,P20,Q2841
odang_person_157423,P21,Q6581072
odang_person_157423,P27,Q739
odang_person_157423,P569,1918
odang_person_157423,message,153
98,refersTo,odang_person_458512
odang_person_458512,label_it,Liudmila Menzhinskaia
odang_person_458512,P1412,Q7737
odang_person_458512,P19,Q656
odang_person_458512,P21,Q6581072
odang_person_458512,P3373,Q241969
odang_person_458512,P569,1876
odang_person_458512,message,98
174,refersTo,odang_person_5182817
odang_person_5182817,label_it,Leighton Abel
odang_person_5182817,P102,Q29468
odang_person_5182817,P106,Q82955
odang_person_5182817,P21,Q6581097
odang_person_5182817,P27,Q30
odang_person_5182817,P39,Q17486706
odang_person_5182817,P569,1900
odang_person_5182817,message,174
67,refersTo,odang_person_3496203
odang_person_3496203,label_it,Constantino Diacono
odang_person_3496203,P106,Q161944
odang_person_3496203,P1412,Q35497
odang_person_3496203,P21,Q6581097
odang_person_3496203,P39,Q769174
odang_person_3496203,P569,550
odang_person_3496203,P6886,Q35497
odang_person_3496203,message,67
152,refersTo,odang_person_6130020
odang_person_6130020,label_it,Hugo Eichhorn
odang_person_6130020,P1412,Q188
odang_person_6130020,P166,Q312439
odang_person_6130020,P19,Q623420
odang_person_6130020,P20,Q2742
odang_person_6130020,P21,Q6581097
odang_person_6130020,P27,Q183
odang_person_6130020,P569,1911
odang_person_6130020,message,152
61,refersTo,odang_person_635793
odang_person_635793,label_it,Emma Crebolder
odang_person_635793,P106,Q49757
odang_person_635793,P21,Q6581072
odang_person_635793,P27,Q29999
odang_person_635793,P569,1942
odang_person_635793,message,61
108,refersTo,odang_person_8774201
odang_person_8774201,label_it,Juryj Naŭrozaŭ
odang_person_8774201,P106,Q16004431
odang_person_8774201,P19,Q2280
odang_person_8774201,P21,Q6581097
odang_person_8774201,P27,Q184
odang_person_8774201,P569,1998
odang_person_8774201,message,108
120,refersTo,odang_person_6259492
odang_person_6259492,label_it,Arthur R. Nichols
odang_person_6259492,P106,Q2815948
odang_person_6259492,P19,Q49158
odang_person_6259492,P20,Q36091
odang_person_6259492,P21,Q6581097
odang_person_6259492,P27,Q30
odang_person_6259492,P569,1881
odang_person_6259492,message,120
185,refersTo,odang_person_1583117
odang_person_1583117,label_it,Guy Tondeur
odang_person_1583117,P106,Q11513337
odang_person_1583117,P21,Q6581097
odang_person_1583117,P27,Q31
odang_person_1583117,P569,1958
odang_person_1583117,message,185
56,refersTo,odang_person_8191816
odang_person_8191816,label_it,Julie Lafontaine
odang_person_8191816,P106,Q639669
odang_person_8191816,message,56
116,refersTo,odang_person_1633016
odang_person_1633016,label_it,Armand-Victor de Rendinger
odang_person_1633016,P1412,Q150
odang_person_1633016,P19,Q681259
odang_person_1633016,P21,Q6581097
odang_person_1633016,P27,Q142
odang_person_1633016,P569,1944
odang_person_1633016,message,116
81,refersTo,odang_person_2488569
odang_person_2488569,label_it,Robert Sparks
odang_person_2488569,P106,Q13235160
odang_person_2488569,P1412,Q1860
odang_person_2488569,P21,Q6581097
odang_person_2488569,P27,Q30
odang_person_2488569,P569,1898
odang_person_2488569,message,81
36,refersTo,odang_person_5100073
odang_person_5100073,label_it,Mauro de Nadal
odang_person_5100073,P102,Q1322751
odang_person_5100073,P103,Q5146
odang_person_5100073,P106,Q82955
odang_person_5100073,P1412,Q5146
odang_person_5100073,P21,Q6581097
odang_person_5100073,P27,Q155
odang_person_5100073,P569,1971
odang_person_5100073,message,36
189,refersTo,odang_person_8653475
odang_person_8653475,label_it,George Christie
odang_person_8653475,P1412,Q1860
odang_person_8653475,P166,Q833163
odang_person_8653475,P20,Q1954930
odang_person_8653475,P21,Q6581097
odang_person_8653475,P22,Q4241259
odang_person_8653475,P25,Q4274902
odang_person_8653475,P26,Q76259910
odang_person_8653475,P27,Q145
odang_person_8653475,P39,Q140686
odang_person_8653475,P40,Q76259915
odang_person_8653475,P569,1934
odang_person_8653475,message,189
67,refersTo,odang_person_8366130
odang_person_8366130,label_it,Magdalena Parys
odang_person_8366130,P103,Q809
odang_person_8366130,P106,Q36180
odang_person_8366130,P1412,Q809
odang_person_8366130,P166,Q1126192
odang_person_8366130,P19,Q1792
odang_person_8366130,P21,Q6581072
odang_person_8366130,P27,Q183
odang_person_8366130,P39,Q589298
odang_person_8366130,P569,1971
odang_person_8366130,message,67
122,refersTo,odang_person_7258037
odang_person_7258037,label_it,Léon Mac-Auliffe
odang_person_7258037,P106,Q39631
odang_person_7258037,P1412,Q150
odang_person_7258037,P19,Q90
odang_person_7258037,P21,Q6581097
odang_person_7258037,P27,Q142
odang_person_7258037,P569,1876
odang_person_7258037,message,122
67,refersTo,odang_person_1152384
odang_person_1152384,label_it,Gastone Rossi Doria
odang_person_1152384,P1038,Q3844744
odang_person_1152384,P106,Q14915627
odang_person_1152384,P1066,Q318968
odang_person_1152384,P1412,Q652
odang_person_1152384,P19,Q220
odang_person_1152384,P20,Q220
odang_person_1152384,P21,Q6581097
odang_person_1152384,P27,Q172579
odang_person_1152384,P569,1899
odang_person_1152384,P6886,Q652
odang_person_1152384,message,67
