mention,wp_title,cosine
Candidato Volodymyr Zelensky,Maia Sandu,0.8185171
Capuozzo,Ange Capuozzo,0.90941715
Capuozzo,Gennaro Capuozzo,0.8793634
Capuozzo,Toni Capuozzo,0.88754964
Capuozzo,Antonio Capuozzo,0.8958373
Capuozzo,Enrico Mentana,0.83913016
Cardarelli,Vincenzo Cardarelli,0.95193756
Cardarelli,Antonio Cardarelli,0.9409593
Cardarelli,Amos Cardarelli,0.84820086
Cardarelli,Roberta Cardarelli,0.9192874
Cardarelli,Ivano Cardarelli,0.9409111
Cardarelli,Bombolo,0.91478777
Carlo,Carlo V d'Asburgo,0.8372029
Carlo,Carlo III di Spagna,0.83902484
Carlo,Carlo I d'Angiò,0.8420931
Carlo,Carlo VI d'Asburgo,0.861564
Carlo,Carlo Di Carlo,0.8727336
Carlo,Carlo Ancelotti,0.918745
Carlo,Carlo Magno,0.9213978
Carlo Calenda,Carlo Calenda,1.0000002
Carlo Calenda,Fabio Calenda,0.9391601
Carlo Calenda,Carlo Cottarelli,0.9449016
Carlo Calenda,Luigi Di Maio,0.8052366
Carlo De Benedetti,Carlo De Benedetti,1.0000002
Carlo De Benedetti,Marco De Benedetti,0.9647479
Carlo De Benedetti,Rodolfo De Benedetti,0.970386
Carlo De Benedetti,Carlo Caracciolo,0.8858967
Carlo De Benedetti,Franco Debenedetti,0.89311075
Carlo De Benedetti,Cesare Romiti,0.87830293
Carlo Verna,Carlo Verna,1.0
Carlo Verna,Gaetano Verna,0.94774795
Carlo Verna,Vittorio Feltri,0.85491663
Carlo Verna,Enzo Foglianese,0.86331135
Cassano,Antonio Cassano,0.9361725
Cassano,Joe Cassano,0.9188539
Cassano,Piero Cassano,0.92578757
Cassano,Mario Cassano,0.92336684
Castelli,Laura Castelli,0.90575373
Castelli,Roberto Castelli,0.9163345
Catherine,Catherine Middleton,0.9203019
Catherine,Catherine Spaak,0.93304217
Catherine,Catherine Bach,0.9282321
Catherine,Catherine Deneuve,0.8134154
Catherine,Catherine Howard,0.92133784
Catherine,Catherine Keener,0.8560381
Catherine,Catherine O'Hara,0.84435534
Catherine Engelbrecht,Giovanni Franco,0.7838573
Cecchi Paone,Alessandro Cecchi Paone,0.9656804
Cecchi Paone,Nando Paone,0.9490436
Cecchi Paone,Daniele Bossari,0.86718214
Celsius                                                           ,Anders Celsius,0.9146776
Cesare,Gaio Giulio Cesare,0.8649398
Cesare,Cesare Beccaria,0.9124609
Cesare,Augusto,0.9405904
Cesare,Caligola,0.92740315
Cesare,Cesare Pavese,0.91776943
Cesare,Cesare Zavattini,0.91862285
Cesare,Cesare Battisti (1954),0.8747327
Cesare,Cesare Prandelli,0.9259622
Cesare,Cesare Borgia,0.928689
ChAdOx1 nCoV-19,Sarah Gilbert,0.8355796
Christopher Steele,Christopher Nolan,0.9429066
Christopher Steele,Brian Steele,0.96527416
Christopher Steele,George Romney,0.8642138
Christopher Steele,Christopher Meloni,0.9305397
Christopher Steele,Sergej Skripal',0.85276985
Christopher Steele,Jamie Lee Curtis,0.85556316
Christopher Steele,Marina Squerciati,0.82589835
Christopher Steele,Dakota Johnson,0.9175754
Christopher Steele,Cassandra Harris,0.88876754
Cingolani,Roberto Cingolani,0.93376756
Cingolani,Mario Cingolani,0.9210413
Cingolani,Angela Maria Guidi Cingolani,0.8899883
Cingolani,Andrea Cingolani,0.93001944
Cingolani,Gabriele dell'Addolorata,0.7990141
Cingolani,Carlo Cingolani,0.91580755
Cingolani,Luciano Cingolani,0.9257138
Cingolani,Luigi Cingolani,0.92642033
Ciro Isidoro,Teodoreto di Cirro,0.77954775
