s,o,entity
odang_person_596,P6886,Q7976
odang_person_2398994,P569,1863
odang_person_109027,P1412,Q652
odang_person_2392496,P106,Q49757
odang_person_1208985,P166,Q488651
Q13396,label,Rieti
odang_person_7171811,P166,Q20204984
odang_person_7691321,P19,Q13376
odang_person_8374114,P106,Q10798782
odang_person_7167666,P103,Q1860
odang_person_5977545,P166,Q52382875
odang_person_1224078,P19,Q13369
odang_person_1211745,P26,Q107438985
Q6436808,label,Premio letterario Kresnik
odang_person_2498218,P106,Q1281618
odang_person_1571986,P39,Q18558478
odang_person_2499826,P27,Q38
odang_person_2920788,P19,Q41013
odang_person_110260,P1412,Q652
odang_person_3607530,P3373,Q3899385
odang_person_103,P937,Q64
odang_person_2399038,P802,Q5827
odang_person_5970878,P166,Q85122502
odang_person_3954893,P551,Q6231
odang_person_107818,P102,Q461886
odang_person_5064856,P937,Q220
odang_person_7445914,P937,Q220
odang_person_8394806,P551,Q6624
odang_person_1304626,P21,Q6581097
odang_person_1197470,P26,Q1124
odang_person_3693402,P569,1964
odang_person_4778355,P166,Q70332569
odang_person_8385105,P21,Q6581097
odang_person_1204458,P27,Q28513
odang_person_105639,P106,Q28389
odang_person_1204068,P1412,Q1860
odang_person_4785124,P106,Q10800557
odang_person_2418624,P106,Q33999
odang_person_5970914,P172,Q1651392
odang_person_4783531,P19,Q63939
odang_person_6074364,P106,Q1930187
odang_person_2410523,P1412,Q13955
odang_person_4778871,P106,Q177220
odang_person_7231246,P21,Q6581097
odang_person_8381596,P166,Q973645
odang_person_3633399,P106,Q4263842
odang_person_3585549,P39,Q55110776
odang_person_2423258,P1412,Q652
odang_person_537292,P21,Q6581072
odang_person_1208957,P26,Q7967127
odang_person_3688117,P19,Q1486
odang_person_2681669,P103,Q652
odang_person_5971712,P3373,Q559279
Q25448,label,berbero
odang_person_8463392,P166,Q15042072
Q60,label,New York
odang_person_4778023,P166,Q614661
odang_person_4140618,P19,Q47262
odang_person_68002,P106,Q49757
odang_person_4789197,P166,Q10514065
odang_person_5995331,P108,Q186068
Q1458155,label,Cosa Nostra
odang_person_3592491,P106,Q36180
odang_person_193,P21,Q6581097
odang_person_104422,P21,Q6581097
odang_person_7166037,P166,Q624463
odang_person_2405773,P103,Q652
odang_person_7165797,P19,Q242733
Q3932717,label,Renato Mieli
odang_person_7165047,P26,Q540665
odang_person_8385789,P21,Q6581097
odang_person_3594355,P27,Q38
odang_person_3601679,P166,Q26196499
odang_person_6074309,P551,Q490
odang_person_6002229,P25,Q229286
odang_person_5068025,P106,Q82955
odang_person_3585712,P19,Q565732
odang_person_7271236,P20,Q220
Q949173,label,Festival internazionale del cinema di Mar del Plata
odang_person_6592382,P106,Q16533
odang_person_872,P1412,Q397
odang_person_4253338,P102,Q47817
odang_person_7172538,P19,Q751658
odang_person_8378454,P106,Q2490358
odang_person_8387205,P106,Q639669
odang_person_1197541,P166,Q696246
Q1453641,label,Prek Sbauv
odang_person_10213,P106,Q1930187
odang_person_5151634,P19,Q1906
odang_person_32267,P106,Q10800557
odang_person_3596491,P108,Q2136640
odang_person_7164960,P40,Q689638
Q2732142,label,statistico
odang_person_4887641,P21,Q6581097
Q534981,label,medaglia di veterano del lavoro
odang_person_5992390,P39,Q65494714
odang_person_7979,P26,Q3721829
odang_person_6080491,P39,Q3657207
odang_person_4885766,P19,Q13386
odang_person_8408862,P106,Q188094
odang_person_1206050,P106,Q47064
odang_person_7177936,P106,Q15949613
Q146667,label,Streatham
odang_person_3592491,P27,Q43
odang_person_4881878,P39,Q1144278
odang_person_5979638,P937,Q239
odang_person_3584857,P551,Q3143666
odang_person_1298514,P106,Q183945
odang_person_3584693,P19,Q4116411
Q1000485,label,Raebareli
Q1130252,label,direttore sportivo
odang_person_4795490,P106,Q2865819
odang_person_4879153,P106,Q36180
odang_person_8361055,P108,Q49108
odang_person_2405572,P103,Q1860
odang_person_4881804,P106,Q82955
odang_person_1197828,P6886,Q35497
odang_person_8368798,P166,Q97446358
odang_person_105673,P106,Q1930187
odang_person_7164969,P106,Q593644
odang_person_35654,P26,Q207073
odang_person_4778434,P166,Q17144
odang_person_1306336,P102,Q461886
odang_person_5970863,P27,Q298
Q3290404,label,Marella Agnelli
Q628457,label,premio Balzan
odang_person_7195783,P25,Q7504
odang_person_4846608,P27,Q38
odang_person_52,P106,Q372436
odang_person_4,P102,Q327591
odang_person_5977795,P463,Q7118978
Q642057,label,Lomas de Zamora
odang_person_2843327,P106,Q47064
odang_person_5971217,P102,Q29552
Q3775982,label,Grazia Di Michele
odang_person_2496472,P27,Q172579
odang_person_3686356,P1412,Q652
odang_person_108268,P569,1980
odang_person_1263497,P6886,Q652
odang_person_3584888,P39,Q20046316
odang_person_4787688,P1412,Q652
odang_person_4884428,P106,Q188094
odang_person_2435575,P106,Q47064
odang_person_7165659,P22,Q108840327
odang_person_7171241,P103,Q150
odang_person_8203046,P569,2000
odang_person_2403858,P39,Q34153264
odang_person_2392607,P106,Q28389
odang_person_5977927,P19,Q956
Q211907,label,Slough
odang_person_5194078,P166,Q3910400
odang_person_5990167,P106,Q15143191
odang_person_7174015,P106,Q36180
odang_person_3922131,P1412,Q652
odang_person_8375021,P3373,Q4120312
odang_person_2391587,P463,Q559398
odang_person_3584776,P551,Q3138
odang_person_1199962,P166,Q17505835
odang_person_107823,P21,Q6581097
odang_person_4820373,P27,Q38
odang_person_8405606,P106,Q177220
odang_person_4887485,P1412,Q652
odang_person_1250973,P27,Q30
odang_person_6002630,P569,1943
odang_person_2438642,P1412,Q652
odang_person_2461568,P463,Q463303
odang_person_1299481,P106,Q28389
odang_person_3596491,P102,Q61651140
odang_person_4788616,P21,Q6581072
Q112019,label,Sirmione
odang_person_8372593,P1412,Q1321
odang_person_5985517,P20,Q2634
odang_person_2397995,P40,Q100439641
odang_person_2405325,P27,Q38
Q5559244,label,John Steinbeck IV
odang_person_7164980,P569,106
odang_person_8378583,P569,1971
