s,o,entity
odang_person_2776,P22,Q317894
odang_person_3616747,P166,Q12177470
odang_person_276429,P39,Q27991492
odang_person_4790404,P106,Q937857
odang_person_2392575,P166,Q16141095
Q162312,label,reichsführer-SS
odang_person_7300,P6886,Q652
odang_person_5970876,P463,Q731721
odang_person_1197973,P3373,Q234695
odang_person_1205352,P106,Q639669
Q3475912,label,Scipione Forteguerri
odang_person_4879793,P106,Q5137571
odang_person_1306862,P166,Q3885253
odang_person_8370822,P1412,Q188
odang_person_1200047,P21,Q6581072
odang_person_21915,P937,Q38
Q4594605,label,magistrato
Q2418113,label,Kileab
odang_person_3609021,P39,Q27991508
Q127552,label,Pixar Animation Studios
Q10855226,label,Gran Croce della Legion d'Onore
odang_person_4777859,P463,Q2945826
odang_person_3584625,P1412,Q1860
odang_person_8384962,P21,Q6581097
odang_person_8363532,P27,Q142
Q3768886,label,Girolamo Amaseo
odang_person_8747450,P22,Q11321319
odang_person_8369830,P106,Q55960555
Q805221,label,ballerino
odang_person_3690721,P1412,Q652
odang_person_4122200,P1412,Q652
Q2376126,label,Partito Fascista Repubblicano
odang_person_4784643,P166,Q94050
odang_person_7165335,P119,Q60840620
Q170790,label,matematico
odang_person_4885616,P20,Q220
odang_person_7200101,P21,Q6581097
odang_person_1205352,P551,Q1190590
Q35497,label,greco antico
Q13670,label,Siracusa
Q237446,label,Mia Martini
Q3012,label,Ulm
odang_person_8363309,P26,Q235835
Q1493021,label,National Academy of Engineering
Q16533,label,giudice
odang_person_4777859,P106,Q1622272
odang_person_3584621,P102,Q49762
odang_person_1210952,P40,Q2268126
odang_person_4883537,P106,Q3427922
odang_person_4882329,P19,Q220
odang_person_8379826,P19,Q220
odang_person_7300,P1066,Q7177913
Q3638792,label,Bernardo Mattarella
odang_person_1257647,P3373,Q4925346
Q26208960,label,Ida Chagall
odang_person_1213116,P27,Q38
odang_person_8375906,P3373,Q1828305
odang_person_2391475,P6886,Q1860
odang_person_7177936,P106,Q2526255
odang_person_2391475,P21,Q6581097
odang_person_2398661,P106,Q55960555
Q3876149,label,Nicola Carraro
odang_person_106474,P1412,Q652
odang_person_4778176,P569,225
Q19616,label,Rai
Q820887,label,Università degli Studi di Firenze
Q5322166,label,designer
odang_person_7172311,P106,Q3282637
odang_person_3627259,P3373,Q1374312
odang_person_7270576,P1412,Q652
odang_person_4778457,P166,Q989447
odang_person_8373851,P21,Q6581097
odang_person_3584625,P106,Q33999
odang_person_84797,P102,Q23731823
odang_person_3585316,P3373,Q13882197
odang_person_1210952,P27,Q172579
odang_person_7165093,P108,Q218295
odang_person_4777856,P119,Q932942
Q1144278,label,vescovo diocesano
odang_person_3585482,P27,Q142
odang_person_106353,P569,1934
Q16039483,label,Arias Barbosa
odang_person_8360988,P106,Q22669155
odang_person_7300,P108,Q955609
odang_person_4777859,P166,Q15056034
odang_person_5985001,P1412,Q33845
Q144589,label,Zak Starkey
odang_person_3695180,P1038,Q3934994
