n,name,gender
http://www.wikidata.org/entity/Q1300642,Sébastien,male
http://www.wikidata.org/entity/Q1298998,Rhoikos,male
http://www.wikidata.org/entity/Q231342,Zvi,male
http://www.wikidata.org/entity/Q2162146,Rohan,male
http://www.wikidata.org/entity/Q2162518,Roj,male
http://www.wikidata.org/entity/Q1297998,Eginhard,male
http://www.wikidata.org/entity/Q2161045,Roderich,male
http://www.wikidata.org/entity/Q227367,Zsombor,male
http://www.wikidata.org/entity/Q381098,Benno,male
http://www.wikidata.org/entity/Q378160,Archip,male
http://www.wikidata.org/entity/Q1308439,Eino,male
http://www.wikidata.org/entity/Q2163118,Rolandas,male
http://www.wikidata.org/entity/Q2345254,Steponas,male
http://www.wikidata.org/entity/Q386299,Dorotheos,male
http://www.wikidata.org/entity/Q2159938,Marius,male
http://www.wikidata.org/entity/Q240255,Kåre,male
http://www.wikidata.org/entity/Q2335801,Finbar,male
http://www.wikidata.org/entity/Q2325000,Tarvo,male
http://www.wikidata.org/entity/Q1303342,Germain,male
http://www.wikidata.org/entity/Q1305584,Kamal,male
http://www.wikidata.org/entity/Q1304077,Eilhard,male
http://www.wikidata.org/entity/Q1312593,Vadim,male
http://www.wikidata.org/entity/Q1305819,Einar,male
http://www.wikidata.org/entity/Q1305796,Eina,male
http://www.wikidata.org/entity/Q2355650,Gijs,male
http://www.wikidata.org/entity/Q2163131,Rolando,male
http://www.wikidata.org/entity/Q1311598,Goffredo,male
http://www.wikidata.org/entity/Q2161431,Roelof,male
http://www.wikidata.org/entity/Q389013,Şevket,male
http://www.wikidata.org/entity/Q390603,Şiyar,male
http://www.wikidata.org/entity/Q2339763,Octaaf,male
http://www.wikidata.org/entity/Q2343050,Stepas,male
http://www.wikidata.org/entity/Q2349436,Stijn,male
http://www.wikidata.org/entity/Q381702,Horst,male
http://www.wikidata.org/entity/Q241658,Malachia,male
http://www.wikidata.org/entity/Q240790,Napoleone,male
http://www.wikidata.org/entity/Q386015,Hamish,male
http://www.wikidata.org/entity/Q256719,Rabih,male
http://www.wikidata.org/entity/Q2367525,Julio,male
http://www.wikidata.org/entity/Q2359706,Stylian,male
http://www.wikidata.org/entity/Q390678,Şükrü,male
http://www.wikidata.org/entity/Q391265,Šarūnas,male
http://www.wikidata.org/entity/Q387979,Şadi,male
http://www.wikidata.org/entity/Q394062,Žilvinas,male
http://www.wikidata.org/entity/Q394353,Žydrūnas,male
http://www.wikidata.org/entity/Q2357538,Teije,male
http://www.wikidata.org/entity/Q240702,Timon,male
http://www.wikidata.org/entity/Q2364286,Valente,male
http://www.wikidata.org/entity/Q1310965,Helfried,male
http://www.wikidata.org/entity/Q245304,Zygmunt,male
http://www.wikidata.org/entity/Q388849,Şenol,male
http://www.wikidata.org/entity/Q388968,Şerif,male
http://www.wikidata.org/entity/Q255470,Behrouz,male
http://www.wikidata.org/entity/Q252247,Árni,male
http://www.wikidata.org/entity/Q246629,Božidar,male
http://www.wikidata.org/entity/Q250661,Álmos,male
http://www.wikidata.org/entity/Q1313873,Laurynas,male
http://www.wikidata.org/entity/Q387792,Aladár,male
http://www.wikidata.org/entity/Q240931,Edwin,male
http://www.wikidata.org/entity/Q1310869,Guilherme,male
http://www.wikidata.org/entity/Q252934,Aegidius,male
http://www.wikidata.org/entity/Q252558,Ásmundur,male
http://www.wikidata.org/entity/Q2163153,Rolf,male
http://www.wikidata.org/entity/Q2369635,Sushil,male
http://www.wikidata.org/entity/Q259268,Brúnó,male
http://www.wikidata.org/entity/Q393037,Agesander,male
http://www.wikidata.org/entity/Q393389,Žarko,male
http://www.wikidata.org/entity/Q1315397,Sigurd,male
http://www.wikidata.org/entity/Q261113,Noel,male
http://www.wikidata.org/entity/Q2370551,Svante,male
http://www.wikidata.org/entity/Q262776,Nepomuk,male
http://www.wikidata.org/entity/Q256463,Pascal,male
http://www.wikidata.org/entity/Q253551,Seren,male
http://www.wikidata.org/entity/Q262439,Ólafur,male
http://www.wikidata.org/entity/Q1313092,Hakkı,male
http://www.wikidata.org/entity/Q2164999,Romas,male
http://www.wikidata.org/entity/Q3859417,Mitchell,male
http://www.wikidata.org/entity/Q2380063,Sözer,male
http://www.wikidata.org/entity/Q2372503,Zvonimir,male
http://www.wikidata.org/entity/Q1317082,Tarsycjusz,male
http://www.wikidata.org/entity/Q396447,Maxim,male
http://www.wikidata.org/entity/Q394380,Žygimantas,male
http://www.wikidata.org/entity/Q395238,Agon,male
http://www.wikidata.org/entity/Q1316828,Tarcal,male
http://www.wikidata.org/entity/Q393927,Žibartas,male
http://www.wikidata.org/entity/Q394055,Agis,male
http://www.wikidata.org/entity/Q400246,Ahilan,male
http://www.wikidata.org/entity/Q401836,Edmund,male
http://www.wikidata.org/entity/Q1316909,Tarján,male
http://www.wikidata.org/entity/Q3868802,Muḥa,male
http://www.wikidata.org/entity/Q3869789,Nabor,male
http://www.wikidata.org/entity/Q1315883,Tacito,male
http://www.wikidata.org/entity/Q406294,Ahmad,male
http://www.wikidata.org/entity/Q403277,Borut,male
http://www.wikidata.org/entity/Q403922,Aidas,male
http://www.wikidata.org/entity/Q266225,Haroun,male
http://www.wikidata.org/entity/Q3866466,Mouloud,male
http://www.wikidata.org/entity/Q3869947,Nahum,male
http://www.wikidata.org/entity/Q3870022,Naldo,male
http://www.wikidata.org/entity/Q2370957,Sven,male
http://www.wikidata.org/entity/Q415295,Akai,male
http://www.wikidata.org/entity/Q3862832,Morando,male
http://www.wikidata.org/entity/Q3862863,Mordecai,male
http://www.wikidata.org/entity/Q3860394,Monaldo,male
http://www.wikidata.org/entity/Q2379918,Sönke,male
http://www.wikidata.org/entity/Q1317141,Tasziló,male
http://www.wikidata.org/entity/Q410778,Aitor,male
http://www.wikidata.org/entity/Q405626,Aimo,male
http://www.wikidata.org/entity/Q3860021,Modoaldo,male
http://www.wikidata.org/entity/Q411091,Aivaras,male
http://www.wikidata.org/entity/Q411069,Aivar,male
http://www.wikidata.org/entity/Q1321129,Eitel Friedrich,male
http://www.wikidata.org/entity/Q1321443,Tyrs,male
