n,name
http://www.wikidata.org/entity/Q1284507,Meinhard
http://www.wikidata.org/entity/Q204039,Ásgeir
http://www.wikidata.org/entity/Q2123153,Quim
http://www.wikidata.org/entity/Q2262068,Séamus
http://www.wikidata.org/entity/Q1286426,Warnfried
http://www.wikidata.org/entity/Q1286045,Ido
http://www.wikidata.org/entity/Q203150,Rino
http://www.wikidata.org/entity/Q203056,Vilius
http://www.wikidata.org/entity/Q1284293,Edgardo
http://www.wikidata.org/entity/Q1289244,Ilkka
http://www.wikidata.org/entity/Q2127308,Ragnar
http://www.wikidata.org/entity/Q2123437,Quirin
http://www.wikidata.org/entity/Q2120108,Pádraig
http://www.wikidata.org/entity/Q2125463,Rade
http://www.wikidata.org/entity/Q2125023,Rabie
http://www.wikidata.org/entity/Q2260734,Scott
http://www.wikidata.org/entity/Q352883,Addi
http://www.wikidata.org/entity/Q352161,Adamus
http://www.wikidata.org/entity/Q2257342,Bing
http://www.wikidata.org/entity/Q203255,Jaromir
http://www.wikidata.org/entity/Q1291923,Jaak
http://www.wikidata.org/entity/Q1287720,Vygandas
http://www.wikidata.org/entity/Q203232,Erhard
http://www.wikidata.org/entity/Q348946,Renato
http://www.wikidata.org/entity/Q2256715,Warren
http://www.wikidata.org/entity/Q2127728,Raymond
http://www.wikidata.org/entity/Q2127714,Raimondas
http://www.wikidata.org/entity/Q1290839,Hermanus
http://www.wikidata.org/entity/Q355713,Malte
http://www.wikidata.org/entity/Q1287300,Edo
http://www.wikidata.org/entity/Q1287085,Edmundas
http://www.wikidata.org/entity/Q354507,Raphael
http://www.wikidata.org/entity/Q2128604,Raivis
http://www.wikidata.org/entity/Q2130053,Rambold
http://www.wikidata.org/entity/Q2130048,Rambo
http://www.wikidata.org/entity/Q2127158,Rafiki
http://www.wikidata.org/entity/Q2126622,Radoslaw
http://www.wikidata.org/entity/Q215780,Tomaz
http://www.wikidata.org/entity/Q205027,Perry
http://www.wikidata.org/entity/Q205696,Bonifaz
