s,o,entity
odang_person_7164960,P1038,Q698102
odang_person_1259314,P106,Q2526255
odang_person_1259314,P26,Q3290931
odang_person_7165093,P108,Q2031025
odang_person_2411571,P106,Q82955
odang_person_2392113,P166,Q945887
odang_person_6295861,P106,Q937857
Q590750,label,Partito Socialista Italiano
odang_person_7171655,P166,Q14539720
odang_person_7165335,P26,Q570794
odang_person_2398066,P27,Q29999
Q16955,label,Università Tsinghua
odang_person_1197595,P166,Q487719
odang_person_7200101,P108,Q3647289
odang_person_8441469,P21,Q6581097
odang_person_1300985,P27,Q38
odang_person_2392348,P26,Q18211504
odang_person_1197595,P166,Q1411891
Q1227533,label,Directors Guild of America
odang_person_5971462,P106,Q1053574
odang_person_12416,P19,Q6221
Q1082986,label,MTV Video Music Awards Latin America
odang_person_186,P26,Q1943555
odang_person_8372668,P166,Q207826
odang_person_8360890,P463,Q466089
Q51933,label,Lucera
odang_person_1298511,P19,Q220
odang_person_2398661,P106,Q36834
odang_person_8375004,P27,Q38
odang_person_7176268,P103,Q652
odang_person_4789080,P103,Q652
odang_person_107438,P937,Q220
Q7320,label,Partito Nazionalsocialista Tedesco dei Lavoratori
odang_person_1198301,P166,Q10855212
Q29468,label,Partito Repubblicano
odang_person_6006566,P569,1920
Q43982,label,Bartolomeo
Q1415090,label,autore di musica per il cinema
odang_person_2494494,P1412,Q652
Q18921228,label,Bernardo Giorgio Mattarella
odang_person_3596089,P19,Q18013
odang_person_7178838,P19,Q3306
odang_person_4777868,P26,Q469701
odang_person_3909771,P569,1997
Q2144453,label,Renzo Bossi
odang_person_7165335,P1038,Q285543
odang_person_1205770,P569,1985
odang_person_3609021,P106,Q15980158
Q201982,label,Clichy
odang_person_1197595,P166,Q17985761
odang_person_1206227,P106,Q33999
odang_person_1197973,P1038,Q267597
odang_person_1223623,P102,Q1294923
Q13329,label,Piacenza
odang_person_1198059,P26,Q33026741
Q11481802,label,doppiatore
odang_person_7195624,P569,1995
odang_person_2411571,P102,Q215350
odang_person_2498998,P19,Q2634
